Pais	Generosity	Healthy life expectancy
Denmark	0.03	72.7
Switzerland	0.025	74.4
Iceland	0.16	73.0
Netherlands	0.175	72.4
Norway	0.093	73.3
Sweden	0.086	72.7
New Zealand	0.134	73.4
Austria	0.042	73.3
Australia	0.159	73.9
Israel	0.031	73.503
Germany	0.011	72.5
Canada	0.089	73.8
Ireland	0.077	72.4
United Kingdom	0.233	72.5
United States	0.098	68.2
Bahrain	0.089	69.495
Malta	0.133	72.2
United Arab Emirates	0.074	67.333
Kosovo	0.257	63.813
Uzbekistan	0.311	65.255
Serbia	0.002	68.6
Thailand	0.287	67.401
Nicaragua	0.02	67.657
Honduras	0.081	67.3
Bosnia and Herzegovina	0.113	68.098
Kyrgyzstan	0.119	64.401
Mongolia	0.116	62.5
Paraguay	0.028	65.9
North Cyprus	0.012	73.898
Hong Kong S.A.R. of China	0.067	76.82
Malaysia	0.125	67.102
Indonesia	0.542	62.236
Nepal	0.152	64.233
Maldives	0.024	70.6
Cameroon	0.026	53.515
North Macedonia	0.038	65.474
Ghana	0.123	57.586
Niger	0.018	53.78
Turkmenistan	0.273	62.409
Gambia	0.424	55.16
Laos	0.123	58.968
Guinea	0.095	55.008
Pakistan	0.098	58.709
Cambodia	0.034	62.0
Mozambique	0.061	54.706
Nigeria	0.037	50.102
Iran	0.218	66.3
Uganda	0.122	56.101
Liberia	0.05	56.498
Kenya	0.287	60.704
Myanmar	0.509	59.302
Chad	0.041	48.478
Sri Lanka	0.079	67.299
Comoros	0.082	57.349
Ethiopia	0.082	59.0
Togo	0.032	54.914
Zambia	0.061	55.809
Sierra Leone	0.084	51.651
India	0.089	60.633
Tanzania	0.183	57.999
Haiti	0.422	55.7
Malawi	0.038	57.948
Rwanda	0.061	61.4
